product_id,product_name,category_id,seller_id,brand,sku,price,cost,stock_quantity,created_at,is_active,batch_date
15,Pedigree Cat Litter Plus,20,113,Pedigree,SKU-PET-000015,2092.76,998.68,260,2023-06-26 15:41:37,True,full_load
16,The Ordinary Moisturizer Pro,10,103,The Ordinary,SKU-BEA-000016,1432.78,727.41,123,2023-07-03 17:21:48,True,full_load
17,Dowell Nonstick Pan Plus,4,16,Dowell,SKU-HOM-000017,8346.82,5317.1,278,2023-06-03 15:19:47,True,full_load
18,H&M Slim Fit Jeans Mini,8,193,H&M,SKU-FAS-000018,3424.16,2281.67,489,2024-09-10 03:04:14,True,full_load
19,Coca-Cola Chocolate Cookies Plus,17,171,Coca-Cola,SKU-FOO-000019,209.72,104.38,440,2023-06-04 08:03:50,True,full_load
20,Tefal Wardrobe Organizer Lite,5,97,Tefal,SKU-HOM-000020,9588.19,5856.19,182,2022-10-16 20:14:54,True,full_load
21,Nike Basketball Mini,13,30,Nike,SKU-SPO-000021,13146.18,8286.47,201,2023-01-18 07:14:53,False,full_load
22,IKEA Dining Chair Lite,4,158,IKEA,SKU-HOM-000022,9623.01,6445.16,122,2025-11-16 05:02:49,True,full_load
23,Under Armour Yoga Mat Pro,12,47,Under Armour,SKU-SPO-000023,10877.61,5132.27,304,2024-04-26 03:58:21,True,full_load
24,Penshoppe Jogger Pants Max,8,197,Penshoppe,SKU-FAS-000024,1745.98,914.91,175,2022-01-08 06:42:22,True,full_load
25,HarperCollins Fantasy Novel Standard,16,76,HarperCollins,SKU-BOO-000025,608.32,411.27,413,2023-08-10 18:05:10,True,full_load
26,O'Reilly Programming Guide Standard,15,18,O'Reilly,SKU-BOO-000026,342.72,261.79,53,2025-10-19 16:41:17,True,full_load
27,Monde Nissin Potato Chips Plus,17,179,Monde Nissin,SKU-FOO-000027,467.57,303.95,104,2025-10-17 02:53:07,True,full_load
28,Pepsi Fruit Juice Mini,18,163,Pepsi,SKU-FOO-000028,429.58,333.44,499,2022-03-08 13:42:05,True,full_load
29,Pedigree Cat Litter Plus,19,32,Pedigree,SKU-PET-000029,2689.57,1771.01,279,2024-05-20 06:23:07,True,full_load
30,HarperCollins Programming Guide Mini,16,126,HarperCollins,SKU-BOO-000030,1278.56,637.9,249,2022-08-10 16:36:41,True,full_load
31,Tefal Storage Box Mini,6,109,Tefal,SKU-HOM-000031,4616.79,2825.19,132,2024-09-11 12:17:08,True,full_load
32,Lego Doll House Lite,14,117,Lego,SKU-KID-000032,3514.53,1786.63,303,2022-12-24 03:55:01,True,full_load
33,Maybelline Serum Max,10,55,Maybelline,SKU-BEA-000033,1916.03,931.23,408,2024-06-12 10:30:04,True,full_load
34,Nivea Sunscreen Plus,11,127,Nivea,SKU-BEA-000034,1545.69,1142.85,440,2025-03-20 16:06:55,True,full_load
35,Dowell Nonstick Pan Lite,5,156,Dowell,SKU-HOM-000035,422.82,286.66,88,2022-09-27 20:01:13,True,full_load
36,Simon & Schuster Fantasy Novel Lite,16,196,Simon & Schuster,SKU-BOO-000036,418.35,277.27,391,2023-12-07 19:11:59,True,full_load
37,Puma Yoga Mat Plus,13,82,Puma,SKU-SPO-000037,11128.14,6768.98,425,2023-01-04 08:49:40,True,full_load
38,Logitech Gaming Mouse Max,3,85,Logitech,SKU-ELE-000038,21023.89,10088.78,232,2022-07-11 12:25:50,True,full_load
39,Nike Jogger Pants Lite,9,51,Nike,SKU-FAS-000039,4215.51,2763.73,61,2024-05-19 20:28:24,True,full_load
40,H&M Sneakers Plus,9,194,H&M,SKU-FAS-000040,2727.58,1991.85,424,2025-04-04 10:07:12,True,full_load
41,Tefal Storage Box Lite,4,79,Tefal,SKU-HOM-000041,2972.47,1441.07,105,2024-02-06 11:56:38,True,full_load
42,Penshoppe Casual Polo Lite,8,114,Penshoppe,SKU-FAS-000042,2998.6,1791.66,374,2022-12-12 13:20:21,True,full_load
43,Puma Basketball Max,12,104,Puma,SKU-SPO-000043,3487.78,2759.15,424,2022-01-22 15:08:42,True,full_load
44,Dowell Nonstick Pan Lite,6,60,Dowell,SKU-HOM-000044,10821.78,7487.89,318,2022-01-20 08:24:26,True,full_load
45,Adidas Jogger Pants Standard,7,90,Adidas,SKU-FAS-000045,4520.09,3416.56,279,2022-10-17 09:23:01,True,full_load
46,Royal Canin Pet Shampoo Pro,20,35,Royal Canin,SKU-PET-000046,2725.93,1291.78,473,2022-03-03 09:23:00,True,full_load
47,Adidas Resistance Bands Standard,12,168,Adidas,SKU-SPO-000047,709.95,384.65,17,2024-08-07 11:40:34,True,full_load
48,Philips Wardrobe Organizer Pro,4,92,Philips,SKU-HOM-000048,5302.7,2843.52,137,2022-01-12 09:00:50,True,full_load
49,Nike Yoga Mat Plus,13,17,Nike,SKU-SPO-000049,1528.9,1200.74,253,2024-12-08 02:19:54,True,full_load
50,Oster Storage Box Lite,4,181,Oster,SKU-HOM-000050,5757.54,3221.34,81,2022-12-01 03:11:29,True,full_load
51,Tefal Storage Box Standard,5,200,Tefal,SKU-HOM-000051,2875.6,1415.37,247,2024-08-23 06:52:49,True,full_load
52,Pedigree Cat Litter Pro,19,80,Pedigree,SKU-PET-000052,3114.6,2072.93,141,2025-03-12 02:22:00,True,full_load
53,Penguin Fantasy Novel Plus,15,120,Penguin,SKU-BOO-000053,978.51,739.55,285,2025-02-16 08:54:19,True,full_load
54,Under Armour Dumbbell Set Lite,13,191,Under Armour,SKU-SPO-000054,6559.65,3834.21,104,2023-09-25 01:21:22,True,full_load
55,Maybelline Lipstick Mini,10,96,Maybelline,SKU-BEA-000055,668.75,495.36,73,2025-05-17 13:59:40,True,full_load
56,Oster LED Desk Lamp Pro,4,4,Oster,SKU-HOM-000056,11939.66,6099.53,51,2023-10-14 05:30:21,True,full_load
57,Nike Yoga Mat Pro,12,160,Nike,SKU-SPO-000057,2160.35,1644.16,195,2023-04-20 13:04:25,True,full_load
58,Hasbro Toy Car Standard,14,26,Hasbro,SKU-KID-000058,543.07,286.23,6,2024-01-08 17:13:30,True,full_load
59,Philips Dining Chair Standard,6,103,Philips,SKU-HOM-000059,6326.93,4769.6,476,2025-12-22 07:22:07,True,full_load
60,Nike Cycling Gloves Mini,12,9,Nike,SKU-SPO-000060,12430.8,6154.54,405,2025-04-25 19:21:38,True,full_load
61,Dowell Dining Chair Standard,6,107,Dowell,SKU-HOM-000061,1672.12,918.28,184,2024-06-06 09:25:01,True,full_load
62,Lego Building Blocks Mini,14,140,Lego,SKU-KID-000062,2973.53,1698.06,243,2023-12-24 02:43:39,True,full_load
63,Nike Slim Fit Jeans Max,9,8,Nike,SKU-FAS-000063,962.9,591.21,69,2023-01-14 02:25:25,True,full_load
64,Penguin Programming Guide Max,16,145,Penguin,SKU-BOO-000064,143.82,101.53,315,2022-12-02 20:04:06,True,full_load
65,Nike Backpack Pro,8,49,Nike,SKU-FAS-000065,3631.64,2349.54,47,2022-09-06 22:28:03,True,full_load
66,Aozi Cat Toy Standard,20,139,Aozi,SKU-PET-000066,746.85,456.87,260,2025-02-28 14:09:35,True,full_load
67,Nivea Lipstick Pro,10,20,Nivea,SKU-BEA-000067,1739.49,1023.59,61,2022-10-16 09:04:53,True,full_load
68,Oster Air Fryer Plus,5,65,Oster,SKU-HOM-000068,367.66,227.52,405,2023-09-26 01:10:25,True,full_load
69,Nike Running Shoes Lite,7,127,Nike,SKU-FAS-000069,1746.05,1383.07,493,2025-06-08 18:50:40,True,full_load
70,Philips Air Fryer Mini,5,2,Philips,SKU-HOM-000070,9650.48,5489.27,208,2023-01-16 09:43:43,True,full_load
71,Whiskas Pet Shampoo Mini,19,38,Whiskas,SKU-PET-000071,860.94,681.48,402,2025-08-24 00:53:00,False,full_load
72,L'Oreal Sunscreen Pro,11,34,L'Oreal,SKU-BEA-000072,291.83,134.45,331,2022-05-25 05:26:12,True,full_load
73,Acer Gaming Mouse Pro,3,37,Acer,SKU-ELE-000073,25942.8,17013.82,300,2025-11-16 18:19:02,True,full_load
74,Adidas Water Bottle Plus,13,22,Adidas,SKU-SPO-000074,3727.93,2690.07,8,2025-02-08 16:13:53,True,full_load
75,Logitech Portable SSD Pro,1,79,Logitech,SKU-ELE-000075,29181.04,19899.06,315,2023-08-07 19:52:09,True,full_load
76,Adidas Basketball Plus,13,173,Adidas,SKU-SPO-000076,5130.62,3114.66,180,2024-08-29 16:42:00,True,full_load
77,HarperCollins Self-Help Book Max,15,58,HarperCollins,SKU-BOO-000077,764.48,569.89,333,2022-05-03 13:42:35,True,full_load
78,Jack 'n Jill Chocolate Cookies Plus,17,77,Jack 'n Jill,SKU-FOO-000078,185.01,88.99,138,2022-07-28 01:30:56,False,full_load
79,Oster Electric Kettle Standard,6,178,Oster,SKU-HOM-000079,6457.1,3189.87,18,2023-08-17 19:52:10,True,full_load
80,Jack 'n Jill Chocolate Cookies Mini,17,28,Jack 'n Jill,SKU-FOO-000080,758.46,522.68,274,2025-12-15 22:09:51,True,full_load
81,Sony USB-C Charger Lite,2,24,Sony,SKU-ELE-000081,5776.36,3929.34,207,2025-09-30 08:10:41,False,full_load
82,Pepsi Trail Mix Lite,17,180,Pepsi,SKU-FOO-000082,726.03,549.79,211,2025-10-06 15:19:10,True,full_load
83,JBL Webcam Plus,2,143,JBL,SKU-ELE-000083,12258.43,7117.71,64,2023-10-17 11:14:25,True,full_load
84,Nike Yoga Mat Lite,13,98,Nike,SKU-SPO-000084,1856.55,932.26,137,2024-03-27 08:45:52,True,full_load
85,Nestle Trail Mix Plus,17,67,Nestle,SKU-FOO-000085,745.28,351.1,224,2022-12-25 09:54:45,True,full_load
86,Nike Cycling Gloves Standard,12,143,Nike,SKU-SPO-000086,7956.6,3923.62,16,2024-06-07 09:29:42,True,full_load
87,Sony Bluetooth Speaker Max,3,159,Sony,SKU-ELE-000087,6059.07,2732.06,22,2023-04-13 05:43:29,True,full_load
88,Fisher-Price Educational Toy Lite,14,147,Fisher-Price,SKU-KID-000088,2205.13,1507.52,320,2025-02-08 13:52:42,True,full_load
89,Oster LED Desk Lamp Mini,6,51,Oster,SKU-HOM-000089,2593.31,1746.04,137,2024-04-19 09:03:12,True,full_load
90,H&M Cotton T-Shirt Lite,8,70,H&M,SKU-FAS-000090,816.29,397.07,60,2022-09-03 00:14:25,True,full_load
91,JBL Laptop Sleeve Mini,2,136,JBL,SKU-ELE-000091,41677.22,28522.26,95,2023-11-02 14:41:55,True,full_load
92,Adidas Slim Fit Jeans Pro,9,3,Adidas,SKU-FAS-000092,3707.12,2271.8,380,2022-11-06 14:30:42,True,full_load
93,Coca-Cola Chocolate Cookies Mini,17,176,Coca-Cola,SKU-FOO-000093,139.87,110.63,168,2025-11-03 05:41:33,True,full_load
94,Xiaomi Wireless Earbuds Standard,3,54,Xiaomi,SKU-ELE-000094,2289.94,1273.42,9,2022-02-02 00:48:48,True,full_load
95,Fisher-Price Puzzle Set Plus,14,97,Fisher-Price,SKU-KID-000095,4609.05,2875.76,206,2025-01-14 15:40:39,True,full_load
96,Nike Cycling Gloves Standard,13,152,Nike,SKU-SPO-000096,2809.49,1947.63,264,2022-01-06 05:13:15,True,full_load
97,Penguin Programming Guide Mini,15,197,Penguin,SKU-BOO-000097,658.13,329.88,207,2022-07-05 00:46:41,True,full_load
98,Zara Slim Fit Jeans Max,7,6,Zara,SKU-FAS-000098,2055.01,1330.73,385,2024-05-31 22:02:20,True,full_load
99,Tefal Dining Chair Plus,6,39,Tefal,SKU-HOM-000099,7653.3,4057.11,103,2024-02-08 03:15:24,False,full_load
100,Logitech Power Bank Standard,1,190,Logitech,SKU-ELE-000100,7123.28,4249.06,4,2023-08-27 01:18:57,True,full_load
101,Uniqlo Sneakers Lite,8,188,Uniqlo,SKU-FAS-000101,2830.21,1723.69,486,2025-08-02 00:05:27,True,full_load
102,Under Armour Basketball Mini,13,141,Under Armour,SKU-SPO-000102,4902.25,3386.71,125,2023-08-27 12:37:24,True,full_load
103,Simon & Schuster Mystery Novel Pro,15,6,Simon & Schuster,SKU-BOO-000103,247.97,197.36,60,2023-11-07 01:38:49,True,full_load
104,L'Oreal Lipstick Standard,10,186,L'Oreal,SKU-BEA-000104,825.75,472.66,49,2025-12-15 00:50:55,True,full_load
105,Oster Storage Box Plus,4,22,Oster,SKU-HOM-000105,1588.43,1056.71,284,2024-07-27 11:33:49,True,full_load
106,Pepsi Potato Chips Lite,17,178,Pepsi,SKU-FOO-000106,133.11,87.78,388,2022-08-08 20:18:30,True,full_load
107,Tefal Nonstick Pan Pro,6,80,Tefal,SKU-HOM-000107,9097.25,5560.14,133,2024-09-14 20:53:22,True,full_load
108,Nestle Chocolate Cookies Mini,18,171,Nestle,SKU-FOO-000108,594.48,437.67,165,2022-11-13 01:17:18,True,full_load
109,H&M Jogger Pants Standard,9,72,H&M,SKU-FAS-000109,2282.24,1155.49,164,2023-11-25 13:53:42,True,full_load
110,Jack 'n Jill Trail Mix Mini,17,148,Jack 'n Jill,SKU-FOO-000110,511.23,353.14,297,2023-03-17 05:18:16,True,full_load
111,Aozi Dog Leash Max,19,70,Aozi,SKU-PET-000111,1152.94,872.58,366,2022-08-19 07:54:01,True,full_load
112,Sony Smartphone Plus,1,15,Sony,SKU-ELE-000112,9475.3,5549.55,8,2025-01-25 01:29:22,True,full_load
113,Apple Webcam Pro,1,181,Apple,SKU-ELE-000113,41339.95,25812.23,70,2025-12-01 04:20:20,True,full_load
114,Monde Nissin Trail Mix Mini,18,132,Monde Nissin,SKU-FOO-000114,651.03,467.64,76,2022-01-02 18:04:37,False,full_load
115,L'Oreal Facial Cleanser Lite,10,101,L'Oreal,SKU-BEA-000115,513.4,356.86,256,2023-06-23 12:04:18,True,full_load
116,Royal Canin Pet Shampoo Pro,19,128,Royal Canin,SKU-PET-000116,1752.43,870.46,116,2023-12-28 08:14:07,True,full_load
117,Dowell LED Desk Lamp Max,5,92,Dowell,SKU-HOM-000117,826.1,453.34,81,2023-04-30 00:17:05,False,full_load
118,Oster Wardrobe Organizer Standard,5,57,Oster,SKU-HOM-000118,6459.19,3836.01,150,2022-01-14 01:58:03,True,full_load
119,Pedigree Cat Toy Pro,19,159,Pedigree,SKU-PET-000119,789.57,511.54,359,2024-05-06 23:23:34,True,full_load
120,Nike Water Bottle Max,13,141,Nike,SKU-SPO-000120,10911.51,5168.61,35,2025-12-28 13:10:14,True,full_load
121,Oster Electric Kettle Lite,4,162,Oster,SKU-HOM-000121,9029.01,4981.36,146,2022-01-28 19:19:12,True,full_load
122,Lego Building Blocks Standard,14,102,Lego,SKU-KID-000122,4372.31,2332.97,308,2023-12-23 19:20:34,True,full_load
123,Uniqlo Jogger Pants Max,7,15,Uniqlo,SKU-FAS-000123,3922.94,3089.58,27,2022-02-06 13:19:22,True,full_load
124,Xiaomi Webcam Pro,1,144,Xiaomi,SKU-ELE-000124,42930.37,32934.04,44,2023-12-13 21:57:46,True,full_load
125,L'Oreal Moisturizer Pro,10,186,L'Oreal,SKU-BEA-000125,1880.56,1056.66,376,2024-06-01 01:03:18,False,full_load
126,Monde Nissin Chocolate Cookies Mini,18,161,Monde Nissin,SKU-FOO-000126,109.55,77.34,64,2022-05-20 03:27:36,True,full_load
127,Acer Wireless Earbuds Max,1,68,Acer,SKU-ELE-000127,12594.83,6165.55,219,2025-02-16 10:45:47,True,full_load
128,Adidas Water Bottle Mini,12,84,Adidas,SKU-SPO-000128,9603.6,4746.03,195,2023-04-30 18:18:42,True,full_load
129,Dowell Dining Chair Pro,5,79,Dowell,SKU-HOM-000129,3767.93,1976.0,214,2023-11-15 05:09:22,False,full_load
130,Puma Basketball Standard,13,163,Puma,SKU-SPO-000130,5847.67,3095.5,318,2022-06-16 07:53:36,True,full_load
131,IKEA Electric Kettle Max,4,61,IKEA,SKU-HOM-000131,10097.61,8013.76,380,2025-01-22 04:55:03,True,full_load
132,Pepsi Fruit Juice Pro,18,53,Pepsi,SKU-FOO-000132,272.93,151.47,120,2023-02-08 01:51:14,True,full_load
133,Nike Basketball Max,12,108,Nike,SKU-SPO-000133,8706.9,5925.82,86,2024-04-10 17:13:31,True,full_load
134,Maybelline Shampoo Plus,10,82,Maybelline,SKU-BEA-000134,447.31,254.65,422,2022-07-16 01:43:59,True,full_load
135,H&M Backpack Standard,9,47,H&M,SKU-FAS-000135,1491.0,883.33,200,2024-03-02 07:21:32,True,full_load
136,H&M Casual Polo Plus,7,181,H&M,SKU-FAS-000136,2347.85,1446.28,204,2025-05-01 14:45:22,False,full_load
137,Pepsi Chocolate Cookies Lite,18,34,Pepsi,SKU-FOO-000137,258.37,190.12,226,2025-09-27 23:27:54,True,full_load
138,Hasbro Doll House Mini,14,105,Hasbro,SKU-KID-000138,3421.85,1895.21,319,2025-05-12 09:19:14,True,full_load
139,Penguin Mystery Novel Lite,15,120,Penguin,SKU-BOO-000139,269.44,160.76,327,2022-04-04 08:17:59,True,full_load
140,Nike Basketball Standard,13,4,Nike,SKU-SPO-000140,13720.98,9116.23,261,2025-06-06 12:09:44,True,full_load
141,Nivea Sunscreen Pro,10,145,Nivea,SKU-BEA-000141,634.2,388.96,120,2022-07-15 00:59:42,True,full_load
142,HarperCollins Business Book Standard,15,70,HarperCollins,SKU-BOO-000142,703.38,395.02,371,2023-04-23 06:41:01,True,full_load
143,Philips Dining Chair Standard,6,190,Philips,SKU-HOM-000143,4640.09,2098.94,44,2022-08-23 06:49:26,True,full_load
144,JBL Smartphone Lite,3,164,JBL,SKU-ELE-000144,1863.07,1167.98,384,2025-02-20 20:08:00,True,full_load
145,Puma Cycling Gloves Pro,12,92,Puma,SKU-SPO-000145,5778.35,3558.9,496,2022-01-27 16:57:38,True,full_load
146,Asus Smartphone Plus,3,177,Asus,SKU-ELE-000146,38214.14,28346.39,45,2025-06-25 06:41:04,True,full_load
147,Jack 'n Jill Fruit Juice Pro,17,26,Jack 'n Jill,SKU-FOO-000147,162.89,119.87,281,2024-04-29 06:31:37,True,full_load
148,O'Reilly Mystery Novel Standard,15,38,O'Reilly,SKU-BOO-000148,860.23,455.67,342,2025-08-24 13:46:57,True,full_load
149,Xiaomi Laptop Sleeve Plus,3,79,Xiaomi,SKU-ELE-000149,47481.05,29890.07,403,2024-06-30 11:58:27,True,full_load
150,Whiskas Dog Food Lite,19,129,Whiskas,SKU-PET-000150,1618.88,1069.66,141,2024-03-13 20:20:29,True,full_load
151,Samsung USB-C Charger Max,2,108,Samsung,SKU-ELE-000151,48590.89,25620.08,443,2023-02-08 09:12:46,True,full_load
152,Nike Slim Fit Jeans Standard,7,89,Nike,SKU-FAS-000152,4974.31,2394.8,46,2022-10-10 07:56:19,True,full_load
153,Cetaphil Moisturizer Plus,11,95,Cetaphil,SKU-BEA-000153,1069.86,752.22,142,2025-03-10 16:46:33,True,full_load
154,Adidas Hoodie Standard,7,186,Adidas,SKU-FAS-000154,896.94,626.55,362,2022-07-04 00:39:10,True,full_load
155,Jack 'n Jill Trail Mix Max,17,80,Jack 'n Jill,SKU-FOO-000155,75.25,39.52,421,2022-01-07 12:15:44,False,full_load
156,Whiskas Dog Food Plus,20,128,Whiskas,SKU-PET-000156,2555.81,1509.22,328,2025-02-07 23:39:22,True,full_load
157,IKEA Nonstick Pan Pro,5,99,IKEA,SKU-HOM-000157,195.27,104.74,31,2022-09-11 10:53:02,False,full_load
158,IKEA Wardrobe Organizer Lite,5,52,IKEA,SKU-HOM-000158,651.16,421.7,303,2025-07-10 08:45:37,True,full_load
159,Nike Slim Fit Jeans Mini,7,13,Nike,SKU-FAS-000159,4997.44,2432.17,480,2022-02-20 09:13:01,True,full_load
160,Logitech Bluetooth Speaker Pro,1,77,Logitech,SKU-ELE-000160,10993.71,7476.53,384,2022-06-16 02:55:51,True,full_load
161,IKEA Wardrobe Organizer Plus,6,192,IKEA,SKU-HOM-000161,8601.5,4470.42,212,2024-05-11 19:32:38,True,full_load
162,Penguin Self-Help Book Pro,16,192,Penguin,SKU-BOO-000162,143.99,101.9,481,2025-03-27 11:43:03,True,full_load
163,Pedigree Cat Toy Mini,19,184,Pedigree,SKU-PET-000163,177.28,127.56,297,2022-06-03 01:10:22,True,full_load
164,Aozi Cat Toy Mini,19,163,Aozi,SKU-PET-000164,3091.88,2122.43,186,2025-09-09 08:37:07,False,full_load
165,Nestle Chocolate Cookies Pro,18,161,Nestle,SKU-FOO-000165,768.34,599.27,174,2023-11-11 17:01:41,True,full_load
166,Tefal Storage Box Standard,4,136,Tefal,SKU-HOM-000166,3423.41,2716.75,472,2024-01-05 01:52:31,True,full_load
167,Logitech Webcam Plus,2,136,Logitech,SKU-ELE-000167,34654.99,23965.1,241,2022-01-06 09:06:51,True,full_load
168,Lego Toy Car Max,14,120,Lego,SKU-KID-000168,2249.16,1046.68,484,2022-06-23 21:50:23,True,full_load
169,Nestle Trail Mix Plus,17,110,Nestle,SKU-FOO-000169,441.9,232.74,56,2024-03-06 08:12:39,True,full_load
170,L'Oreal Moisturizer Pro,10,121,L'Oreal,SKU-BEA-000170,857.8,455.68,305,2024-11-17 10:39:06,True,full_load
171,Aozi Pet Shampoo Max,19,151,Aozi,SKU-PET-000171,218.59,135.16,396,2024-02-01 19:48:36,True,full_load
172,Monde Nissin Potato Chips Pro,17,51,Monde Nissin,SKU-FOO-000172,738.82,578.37,229,2022-03-04 15:10:41,True,full_load
173,Maybelline Facial Cleanser Pro,10,144,Maybelline,SKU-BEA-000173,2118.76,1510.93,146,2025-05-25 01:37:17,True,full_load
174,The Ordinary Sunscreen Mini,10,173,The Ordinary,SKU-BEA-000174,960.26,732.61,443,2023-12-25 03:55:16,False,full_load
175,Nestle Instant Coffee Plus,18,9,Nestle,SKU-FOO-000175,101.76,79.3,342,2023-02-04 01:40:16,True,full_load
176,Whiskas Cat Litter Max,20,50,Whiskas,SKU-PET-000176,273.46,150.82,83,2022-10-17 06:53:40,False,full_load
177,JBL Power Bank Standard,1,32,JBL,SKU-ELE-000177,48358.85,25557.78,196,2025-05-11 04:48:11,True,full_load
178,Under Armour Cycling Gloves Mini,12,196,Under Armour,SKU-SPO-000178,8251.45,4145.2,233,2025-08-08 15:18:52,True,full_load
179,Monde Nissin Chocolate Cookies Max,17,171,Monde Nissin,SKU-FOO-000179,126.89,79.92,226,2025-05-29 01:44:27,True,full_load
180,Pedigree Dog Leash Lite,20,92,Pedigree,SKU-PET-000180,224.3,105.01,60,2024-12-08 00:33:07,True,full_load
181,L'Oreal Facial Cleanser Mini,10,94,L'Oreal,SKU-BEA-000181,179.96,133.83,376,2022-03-27 07:31:04,True,full_load
182,Simon & Schuster Mystery Novel Max,16,105,Simon & Schuster,SKU-BOO-000182,1105.84,831.51,2,2022-04-23 22:26:19,True,full_load
183,Whiskas Cat Litter Mini,20,3,Whiskas,SKU-PET-000183,2232.07,1451.09,481,2022-03-14 02:41:15,False,full_load
184,Asus Gaming Mouse Mini,3,167,Asus,SKU-ELE-000184,3883.48,2812.87,108,2025-08-11 03:39:49,True,full_load
185,Nestle Trail Mix Lite,17,178,Nestle,SKU-FOO-000185,126.03,68.97,113,2025-09-06 19:43:47,True,full_load
186,Zara Sneakers Lite,7,74,Zara,SKU-FAS-000186,2229.1,1273.45,112,2022-04-13 11:06:28,True,full_load
187,IKEA Shoe Rack Lite,4,78,IKEA,SKU-HOM-000187,959.76,576.46,414,2025-06-11 07:27:36,True,full_load
188,Uniqlo Hoodie Standard,7,4,Uniqlo,SKU-FAS-000188,209.69,107.14,51,2022-08-17 21:58:58,True,full_load
189,Monde Nissin Fruit Juice Plus,18,19,Monde Nissin,SKU-FOO-000189,215.36,151.61,390,2023-07-21 14:03:38,True,full_load
190,Aozi Pet Shampoo Max,20,141,Aozi,SKU-PET-000190,2882.31,1814.28,406,2025-01-12 11:24:09,True,full_load
191,Acer Mechanical Keyboard Mini,3,171,Acer,SKU-ELE-000191,4318.69,3320.68,46,2024-05-04 07:38:42,True,full_load
192,Nike Yoga Mat Mini,12,84,Nike,SKU-SPO-000192,3987.02,3172.4,255,2025-11-17 20:57:18,True,full_load
193,Coca-Cola Fruit Juice Lite,17,197,Coca-Cola,SKU-FOO-000193,640.53,380.45,413,2025-06-28 05:37:01,True,full_load
194,Nestle Potato Chips Max,17,109,Nestle,SKU-FOO-000194,355.72,218.53,282,2023-01-19 08:41:46,True,full_load
195,Nestle Instant Coffee Lite,17,191,Nestle,SKU-FOO-000195,711.27,522.74,39,2025-04-11 19:39:11,True,full_load
196,Oster Storage Box Pro,6,127,Oster,SKU-HOM-000196,3797.38,2923.32,303,2022-12-30 19:59:23,True,full_load
197,Aozi Cat Toy Standard,19,145,Aozi,SKU-PET-000197,3022.8,2076.45,185,2023-06-15 07:03:10,True,full_load
198,Maybelline Conditioner Plus,10,97,Maybelline,SKU-BEA-000198,1345.54,681.49,306,2025-06-15 13:12:52,True,full_load
199,Dowell Shoe Rack Standard,6,59,Dowell,SKU-HOM-000199,3038.19,1651.74,151,2022-08-27 11:12:13,True,full_load
200,Pepsi Potato Chips Max,18,112,Pepsi,SKU-FOO-000200,460.01,299.65,236,2025-04-16 01:38:50,True,full_load
201,Oster Storage Box Max,6,10,Oster,SKU-HOM-000201,9309.89,7289.69,13,2022-06-08 01:21:06,True,full_load
202,Hasbro Building Blocks Mini,14,16,Hasbro,SKU-KID-000202,4240.13,2627.96,412,2023-08-20 22:46:33,True,full_load
203,Logitech Webcam Plus,1,167,Logitech,SKU-ELE-000203,19775.54,12648.76,117,2025-03-15 04:23:47,True,full_load
204,Samsung Mechanical Keyboard Standard,1,186,Samsung,SKU-ELE-000204,23479.81,16505.33,162,2024-01-27 00:35:44,True,full_load
205,Samsung Gaming Mouse Max,3,59,Samsung,SKU-ELE-000205,40248.6,25409.05,420,2023-04-06 14:34:35,True,full_load
